OBJECTID,NGDPMK,NEGERI,DAERAH,MUKIM,Shape.STArea(),Shape.STLength()
1,010103,JOHOR,BATU PAHAT,MUKIM KAMPUNG BAHRU,0.0055144814441868755,0.41626220990038276
2,010104,JOHOR,BATU PAHAT,MUKIM LINAU,0.008961534548578766,0.5491853469174749
3,010105,JOHOR,BATU PAHAT,MUKIM LUBOK,0.003671785367302781,0.29622774458693635
4,010106,JOHOR,BATU PAHAT,MUKIM MINYAK BEKU,0.010610512865715219,0.6096937053491227
5,010107,JOHOR,BATU PAHAT,MUKIM PESERAI,0.0015440653854608799,0.19385222376237646
6,010108,JOHOR,BATU PAHAT,MUKIM SRI GADING,0.016851029599699453,0.9179876709183198
7,010109,JOHOR,BATU PAHAT,MUKIM SRI MEDAN,0.020168769413307388,0.6772707129426554
8,010112,JOHOR,BATU PAHAT,MUKIM SUNGAI KLUANG,0.0083638145104843,0.45134045291801245
9,010202,JOHOR,JOHOR BAHRU,MUKIM PLENTONG,0.021910514176351554,0.7664852829278292
10,010203,JOHOR,JOHOR BAHRU,MUKIM PULAI,0.017351524608218434,0.7362987946677961
11,010206,JOHOR,JOHOR BAHRU,MUKIM SUNGAI TIRAM,0.019364374176481382,0.8160817662540022
12,010301,JOHOR,KLUANG,MUKIM ULU BENUT,0.008478437366178862,0.46909566824284554
13,010305,JOHOR,KLUANG,MUKIM MACHAP,0.009803616126748436,0.4613348432519948
14,010340,JOHOR,KLUANG,BANDAR KLUANG,0.0008878247478710442,0.16561558298680848
15,010405,JOHOR,KOTA TINGGI,MUKIM KOTA TINGGI,0.03125273931817048,1.0746630608874268
16,010407,JOHOR,KOTA TINGGI,MUKIM PENGERANG,0.014647869121750775,0.580710021663131
17,010410,JOHOR,KOTA TINGGI,MUKIM TANJUNG SURAT,0.027510187606206774,0.8239988416234357
18,010502,JOHOR,MERSING,MUKIM LENGGOR,0.05158540564590954,1.1144560214431185
19,010511,JOHOR,MERSING,MUKIM SEMBRONG,0.0496416268090589,1.0911634868297135
20,010512,JOHOR,MERSING,MUKIM TENGGAROH,0.015023903009249896,0.6960107135967875
21,010601,JOHOR,MUAR,MUKIM AYER HITAM,0.009582727799312976,0.4532969504759937
22,010602,JOHOR,MUAR,MUKIM BANDAR,0.0024207718976053945,0.35548217495853823
23,010610,JOHOR,MUAR,MUKIM LENGA,0.02377787010812687,0.8426961158330762
24,010615,JOHOR,MUAR,MUKIM SUNGAI BALANG,0.008028885150341497,0.4334260261261717
25,010701,JOHOR,PONTIAN,MUKIM AYER BALOI,0.01162201287316269,0.5266070952428198
26,010703,JOHOR,PONTIAN,MUKIM API-API,0.0069035000565539255,0.44807394617315127
27,010708,JOHOR,PONTIAN,MUKIM RIMBA TERJUN,0.006538348048584478,0.46832952892215257
28,010801,JOHOR,SEGAMAT,MUKIM BEKOK,0.06836678748874446,1.079673522157673
29,010802,JOHOR,SEGAMAT,MUKIM BULOH KASAP,0.021175822304451364,1.0697942237583788
30,010806,JOHOR,SEGAMAT,MUKIM JABI,0.011145123423151746,0.5907543492018189
31,010811,JOHOR,SEGAMAT,MUKIM SUNGAI SEGAMAT,0.01483822155746726,0.6103348554653525
32,010101,JOHOR,BATU PAHAT,MUKIM BAGAN,0.003361080278804495,0.2768989664969505
33,010102,JOHOR,BATU PAHAT,MUKIM CHAAH BAHRU,0.02489007914373482,0.6864972242714791
34,010902,JOHOR,KULAI,MUKIM SENAI,0.017003345812742682,0.6902177969976676
35,011070,JOHOR,TANGKAK,PEKAN GRISEK,4.960123797711001e-06,0.009248872766851872
36,011004,JOHOR,TANGKAK,MUKIM SEROM,0.00951343620279621,0.7273078973629252
37,011006,JOHOR,TANGKAK,MUKIM KESANG,0.0030183870782553436,0.4096365380382
38,010110,JOHOR,BATU PAHAT,MUKIM SIMPANG KANAN,0.010408910195115305,0.5539342414334003
39,010111,JOHOR,BATU PAHAT,MUKIM SIMPANG KIRI,0.009480406958124106,0.5314309470190834
40,010113,JOHOR,BATU PAHAT,MUKIM SUNGAI PUNGGOR,0.007547668398163519,0.5150895691762255
41,010114,JOHOR,BATU PAHAT,MUKIM TANJUNG SEMBRONG,0.02784747055315334,0.9606604374830797
42,010140,JOHOR,BATU PAHAT,BANDAR AYER HITAM,2.3532338749880507e-05,0.020612953776338958
43,010141,JOHOR,BATU PAHAT,BANDAR BANDAR PENGGARAM,0.00032363968623194006,0.08035702103171041
44,010142,JOHOR,BATU PAHAT,BANDAR RENGIT,2.3888448174856506e-05,0.02346908273549876
45,010143,JOHOR,BATU PAHAT,BANDAR SENGGARANG,6.756667074256652e-05,0.03879985297123761
46,010144,JOHOR,BATU PAHAT,BANDAR YONG PENG,8.255578681967152e-05,0.04344246852198817
47,010201,JOHOR,JOHOR BAHRU,MUKIM JELUTONG,0.0012520478221387853,0.16681250914610804
48,010207,JOHOR,JOHOR BAHRU,MUKIM TANJUNG KUPANG,0.00931229835854299,0.5243945181803716
49,010208,JOHOR,JOHOR BAHRU,MUKIM TEBRAU,0.01741752373178193,0.6440332025025387
50,010240,JOHOR,JOHOR BAHRU,BANDAR JOHOR BAHRU,0.003493711033073998,0.2823725488878368
51,010242,JOHOR,JOHOR BAHRU,BANDAR TEBRAU,4.632134738193501e-06,0.019942591648423946
52,010302,JOHOR,KLUANG,MUKIM KAHANG,0.044836428371731255,1.01230655502743
53,010303,JOHOR,KLUANG,MUKIM KLUANG,0.051073197600389135,1.1317674995434777
54,010304,JOHOR,KLUANG,MUKIM LAYANG-LAYANG,0.018640041833313033,0.8532864515750359
55,010306,JOHOR,KLUANG,MUKIM NIYOR,0.020482189041740137,0.8029323896655152
56,010307,JOHOR,KLUANG,MUKIM PALOH,0.03498600250230277,1.0429370334558614
57,010308,JOHOR,KLUANG,MUKIM RENGAM,0.04530308597607538,0.9792858860760075
58,010341,JOHOR,KLUANG,BANDAR PALOH,1.9730705888391504e-05,0.02140771908121792
59,010342,JOHOR,KLUANG,BANDAR RENGAM,4.598072567338901e-05,0.030164200449914674
60,010401,JOHOR,KOTA TINGGI,MUKIM ULU SUNGAI JOHOR,0.07437617498101838,1.307696350081804
61,010402,JOHOR,KOTA TINGGI,MUKIM ULU SUNGEI SEDILI BESAR,0.04077636850906131,0.9194050493228172
62,010403,JOHOR,KOTA TINGGI,MUKIM JOHOR LAMA,0.016584178161975244,0.60809737340151
63,010404,JOHOR,KOTA TINGGI,MUKIM KAMBAU,0.016088245266211575,0.573512916282231
64,010406,JOHOR,KOTA TINGGI,MUKIM PANTAI TIMUR,0.018838181603680646,0.9990530591155709
65,010408,JOHOR,KOTA TINGGI,MUKIM SEDILI BESAR,0.0164848129019589,0.7199038428354972
66,010409,JOHOR,KOTA TINGGI,MUKIM SEDILI KECHIL,0.026207205934516094,0.727266641434907
67,010440,JOHOR,KOTA TINGGI,BANDAR KOTA TINGGI,0.00017390962135919655,0.06441265750125652
68,010501,JOHOR,MERSING,MUKIM JEMALUANG,0.010128497458555125,0.648471711560295
69,010503,JOHOR,MERSING,MUKIM MERSING,0.06199023754671556,1.3607652962140833
70,010504,JOHOR,MERSING,MUKIM PADANG ENDAU,0.012691968412628938,0.8294382671942601
71,010505,JOHOR,MERSING,MUKIM PENYABONG,0.008052735795995062,0.5202559013585032
72,010510,JOHOR,MERSING,MUKIM PULAU TINGGI,0.0012406171485509453,0.2261468114317556
73,010514,JOHOR,MERSING,MUKIM TRIANG,0.005294825778112481,0.3568884878079737
74,010540,JOHOR,MERSING,BANDAR JEMALUANG,8.481601346607001e-06,0.020467659494896286
75,010541,JOHOR,MERSING,BANDAR MERSING,8.890169996015452e-05,0.05564154470540175
76,010542,JOHOR,MERSING,BANDAR MERSING KANAN,1.2813976283126503e-05,0.0174350683059528
77,010543,JOHOR,MERSING,BANDAR PADANG ENDAU,0.00012271319253224103,0.05207695995372759
78,010606,JOHOR,MUAR,MUKIM JALAN BAKRI,0.004213824241192536,0.3919338410844386
79,010607,JOHOR,MUAR,MUKIM JORAK,0.021641567337587236,1.019001346164878
80,010611,JOHOR,MUAR,MUKIM PARIT BAKAR,0.003268605764952972,0.2869734038797449
81,010612,JOHOR,MUAR,MUKIM PARIT JAWA,0.005763191697057823,0.43915281522250454
82,010613,JOHOR,MUAR,MUKIM SRI MENANTI,0.007502868911600541,0.48020022140913127
83,010616,JOHOR,MUAR,MUKIM SUNGAI RAYA,0.0032106034006519142,0.4376902837409773
84,010617,JOHOR,MUAR,MUKIM SUNGAI TERAP,0.0017271739631283859,0.32651646296550146
85,010640,JOHOR,MUAR,BANDAR BANDAR MAHARANI,0.0009959454030521232,0.15897157718429708
86,010642,JOHOR,MUAR,BANDAR BUKIT KEPONG,1.9339967416335006e-06,0.006012611177938881
87,010643,JOHOR,MUAR,BANDAR PANCHOR,6.587828053159502e-06,0.014556342855372663
88,010645,JOHOR,MUAR,BANDAR PARIT JAWA,3.665017789288401e-05,0.02511991671388312
89,010670,JOHOR,MUAR,PEKAN BUKIT PASIR,3.309760712710501e-06,0.008406535236963981
90,010702,JOHOR,PONTIAN,MUKIM AIR MASIN,0.0029674072021157872,0.27961879880928786
91,010704,JOHOR,PONTIAN,MUKIM BENUT,0.011330925868637915,0.5172589042247991
92,010706,JOHOR,PONTIAN,MUKIM PENGKALAN RAJA,0.0008138401518137322,0.16007424462414926
93,010707,JOHOR,PONTIAN,MUKIM PONTIAN,0.010002587268398911,0.4902111913139464
94,010709,JOHOR,PONTIAN,MUKIM SERKAT,0.00496977162326685,0.44341261642048735
95,010710,JOHOR,PONTIAN,MUKIM SUNGAI KARANG,0.00526302288674798,0.49819934450449077
96,010711,JOHOR,PONTIAN,MUKIM SUNGEI PINGGAN,0.005207244470776032,0.36586748216343545
97,010740,JOHOR,PONTIAN,BANDAR BENUT,0.00011703345246645603,0.050143917532042295
98,010741,JOHOR,PONTIAN,BANDAR PONTIAN KECHIL,6.729435361165352e-05,0.03953607127649026
99,010770,JOHOR,PONTIAN,PEKAN PEKAN NENAS,3.1410663296004506e-05,0.02783896552142837
100,010803,JOHOR,SEGAMAT,MUKIM CHAAH,0.01478887568665902,0.562766540481518
101,010804,JOHOR,SEGAMAT,MUKIM GEMAS,0.024694589514423607,1.0533795783567022
102,010805,JOHOR,SEGAMAT,MUKIM GEMEREH,0.0017874547757834405,0.2433086960376713
103,010807,JOHOR,SEGAMAT,MUKIM JEMENTAH,0.01839115606159886,0.9287826680028889
104,010808,JOHOR,SEGAMAT,MUKIM LABIS,0.03466846196861146,0.8917807978553636
105,010809,JOHOR,SEGAMAT,MUKIM POGOH,0.0127972458589983,0.7881451977743377
106,010810,JOHOR,SEGAMAT,MUKIM SERMIN,0.010056021911458903,0.639503975297121
107,010840,JOHOR,SEGAMAT,BANDAR BATU ANAM,9.848245463575352e-05,0.06187484850543965
108,010841,JOHOR,SEGAMAT,BANDAR BEKOK,6.751491927228502e-05,0.03453732860837264
109,010842,JOHOR,SEGAMAT,BANDAR BULOH KASAP,6.876187806865202e-05,0.04169449584851067
110,010843,JOHOR,SEGAMAT,BANDAR JEMENTAH,5.2797079789537014e-05,0.033694507503941866
111,010844,JOHOR,SEGAMAT,BANDAR LABIS,6.0167178425609514e-05,0.04221777768634995
112,010845,JOHOR,SEGAMAT,BANDAR SEGAMAT,0.00016460572129449805,0.07161703729150332
113,010870,JOHOR,SEGAMAT,PEKAN GEMAS BAHRU,4.773915675112001e-06,0.011348078752518866
114,010940,JOHOR,KULAI,BANDAR KULAI,0.00023141341833240407,0.07434335452826973
115,010901,JOHOR,KULAI,MUKIM KULAI,0.01835233119852903,0.682687764729906
116,010903,JOHOR,KULAI,MUKIM SEDENAK,0.016927508804542007,0.6899010595846101
117,010904,JOHOR,KULAI,MUKIM BUKIT BATU,0.008867341860076977,0.45984670058711385
118,011040,JOHOR,TANGKAK,BANDAR BUKIT KANGKAR,1.6645846360947005e-05,0.021397481052531826
119,011041,JOHOR,TANGKAK,BANDAR PARIT BUNGA,5.138301809992151e-05,0.02973283279093327
120,011042,JOHOR,TANGKAK,BANDAR SEROM,2.1414003640801004e-05,0.021625197404944056
121,011043,JOHOR,TANGKAK,BANDAR SUNGAI MATI,3.715337131602151e-05,0.028598222324179894
122,011044,JOHOR,TANGKAK,BANDAR TANGKAK,3.510646454529351e-05,0.02948225932406513
123,011001,JOHOR,TANGKAK,MUKIM TANGKAK,0.03113655344596667,1.13963034000206
124,011002,JOHOR,TANGKAK,MUKIM BUKIT SERAMPANG,0.015752211427964243,0.8660562770554646
125,011003,JOHOR,TANGKAK,MUKIM GRISEK,0.015147073907326484,0.8093781648635664
126,011005,JOHOR,TANGKAK,MUKIM KUNDANG,0.004784616147064366,0.5000317670838891
127,010705,JOHOR,PONTIAN,MUKIM JERAM BATU,0.009032458594490731,0.5412188544732327
128,010603,JOHOR,MUAR,MUKIM BUKIT KEPONG,0.021004508220149064,0.8003181170438742
129,020370,KEDAH,KOTA SETAR,PEKAN ALOR JANGGUS,0.00023591038171782806,0.08778681405764524
130,020372,KEDAH,KOTA SETAR,PEKAN KOTA SARANG SEMUT,0.00018950488980186604,0.07870661783531865
131,020541,KEDAH,KUBANG PASU,BANDAR JITRA,0.0019456470235561926,0.32191394872011114
132,020674,KEDAH,KULIM,PEKAN MERBAU PULAS,0.0005221645670012931,0.12595841256480084
133,020677,KEDAH,KULIM,PEKAN PADANG MEHA,0.0016901272496295913,0.2305774110985655
134,020608,KEDAH,KULIM,MUKIM NAGA LILIT,0.0013416052267338364,0.26301826786251126
135,020415,KEDAH,KUALA MUDA,MUKIM SUNGAI PETANI,0.004876301461144324,0.5666073349609604
136,020613,KEDAH,KULIM,MUKIM SUNGAI SELUANG,0.0006947258928484542,0.13524172225746156
137,020703,KEDAH,LANGKAWI,MUKIM KEDAWANG,0.0031061814442433257,0.7471657473926404
138,020701,KEDAH,LANGKAWI,MUKIM AYER HANGAT,0.0036940872573801836,0.837064097127409
139,020740,KEDAH,LANGKAWI,BANDAR KUAH,0.013261688280073826,2.4563410863910486
140,020610,KEDAH,KULIM,MUKIM PADANG MEHA,0.002123342448763719,0.39871713759344807
141,020614,KEDAH,KULIM,MUKIM SUNGAI ULAR,0.0019155994872918824,0.3262255146750818
