OBJECTID,NEGERI,KOD_NEGERI,SHAPE_LENG,Shape.STArea(),Shape.STLength()
1,TERENGGANU,11,7.23662099,1.0532097898432988,7.236620990323868
2,W.P. LABUAN,15,0.73564771,0.007484933867531176,0.7356477084551604
3,KELANTAN,03,7.66250449,1.2339140491168772,7.6625044921094885
4,PULAU PINANG,07,2.51019326,0.0851991234248701,2.5101932653588204
5,JOHOR,01,8.76058812,1.556689421726441,8.760588132315723
6,PAHANG,06,12.33727714,2.927570966794321,12.337277146770576
7,PERAK,08,10.27207447,1.709669078321483,10.272074495230717
8,SARAWAK,13,27.36120262,10.32875109935776,27.3612026199105
9,PERLIS,09,1.35507293,0.06686324651346096,1.3550729302033182
10,SABAH,12,40.60858623,6.052347405414504,40.60858622476397
11,KEDAH,02,8.71983192,0.7728545368186933,8.719831942495784
12,NEGERI SEMBILAN,05,3.88262152,0.543481664712739,3.8826215272591966
13,SELANGOR,10,8.81234428,0.6438728829886547,8.812344283109606
14,MELAKA,04,2.20918991,0.13392775785364822,2.209189907665743
15,W.P. KUALA LUMPUR,14,0.90275702,0.01972075164697642,0.9027570151465268
16,W.P. PUTRAJAYA,16,0.38752742,0.004010786774920318,0.3875274252216119
