OBJECTID,kod_negeri,kod_daerah,kod_mukim,MUKIM,DAERAH,NEGERI
1,1,101,10101,Bagan,Batu Pahat,Johor
10,1,101,10110,Simpang Kanan,Batu Pahat,Johor
100,1,108,10810,Sermin,Segamat,Johor
1000,6,606,60607,Pekan,Pekan,Pahang
1001,6,606,60608,Penyor,Pekan,Pahang
1002,6,606,60609,Pulau Manis,Pekan,Pahang
1003,6,606,60610,Pulau Rusa,Pekan,Pahang
1004,6,606,60611,Temai,Pekan,Pahang
1005,6,606,60640,Bandar Pekan,Pekan,Pahang
1006,6,606,60670,Pekan Kuala Pahang,Pekan,Pahang
1007,6,606,60671,Pekan Nenasi,Pekan,Pahang
1008,6,607,60701,Batu Talam,Raub,Pahang
1009,6,607,60702,Dong,Raub,Pahang
101,1,108,10811,Sungai Segamat,Segamat,Johor
1010,6,607,60703,Gali,Raub,Pahang
1011,6,607,60704,Hulu Dong,Raub,Pahang
1012,6,607,60705,Sega,Raub,Pahang
1013,6,607,60706,Semantan Hulu,Raub,Pahang
1014,6,607,60707,Teras,Raub,Pahang
1015,6,607,60740,Bandar Raub,Raub,Pahang
1016,6,607,60741,Bandar Teras,Raub,Pahang
1017,6,607,60770,Pekan Ceruh,Raub,Pahang
1018,6,607,60771,Pekan Dong,Raub,Pahang
1019,6,607,60772,Pekan Teranum,Raub,Pahang
102,1,108,10840,Bandar Batu Anam,Segamat,Johor
1020,6,608,60801,Bangau,Temerloh,Pahang
1021,6,608,60802,Jenderak,Temerloh,Pahang
1022,6,608,60803,Kerdau,Temerloh,Pahang
1023,6,608,60804,Lebak,Temerloh,Pahang
1024,6,608,60805,Lipat Kajang,Temerloh,Pahang
1025,6,608,60806,Mentakab,Temerloh,Pahang
1026,6,608,60807,Perak,Temerloh,Pahang
1027,6,608,60808,Sanggang,Temerloh,Pahang
1028,6,608,60809,Semantan,Temerloh,Pahang
1029,6,608,60810,Songsang,Temerloh,Pahang
103,1,108,10841,Bandar Bekok,Segamat,Johor
1030,6,608,60840,Bandar Mentakab,Temerloh,Pahang
1031,6,608,60841,Bandar Temerloh,Temerloh,Pahang
1032,6,608,60871,Pekan Kerdau,Temerloh,Pahang
1033,6,608,60872,Pekan Kuala Kerau,Temerloh,Pahang
1034,6,608,60873,Pekan Lancang,Temerloh,Pahang
1035,6,609,60901,Endau,Rompin,Pahang
1036,6,609,60902,Keratong,Rompin,Pahang
1037,6,609,60903,Pontian,Rompin,Pahang
1038,6,609,60904,Rompin,Rompin,Pahang
1039,6,609,60905,Tioman,Rompin,Pahang
104,1,108,10842,Bandar Buloh Kasap,Segamat,Johor
1040,6,609,60906,Bebar,Rompin,Pahang
1041,6,609,60940,Bandar Baharu Rompin,Rompin,Pahang
1042,6,609,60941,Bandar Rompin 1,Rompin,Pahang
1043,6,609,60942,Bandar Rompin II,Rompin,Pahang
1044,6,609,60943,Bandar Rompin III,Rompin,Pahang
1045,6,609,60944,Bandar Rompin IV,Rompin,Pahang
1046,6,609,60945,Bandar Pontian,Rompin,Pahang
1047,6,609,60946,Bandar Endau,Rompin,Pahang
1048,6,609,60947,Bandar Muadzam Shah 1,Rompin,Pahang
1049,6,609,60948,Bandar Muadzam Shah II,Rompin,Pahang
105,1,108,10843,Bandar Jementah,Segamat,Johor
1050,6,609,60949,Bandar Tioman,Rompin,Pahang
1051,6,609,60970,Pekan Kuala Rompin,Rompin,Pahang
1052,6,609,60971,Pekan Tioman,Rompin,Pahang
1053,6,610,61001,Bukit Segumpal,Maran,Pahang
1054,6,610,61002,Chenor,Maran,Pahang
1055,6,610,61003,Kertau,Maran,Pahang
1056,6,610,61004,Luit,Maran,Pahang
1057,6,610,61040,Bandar Maran,Maran,Pahang
1058,6,610,61070,Pekan Chenor,Maran,Pahang
1059,6,610,61072,Pekan Sri Jaya,Maran,Pahang
106,1,108,10844,Bandar Labis,Segamat,Johor
1060,6,611,61111,Bera,Bera,Pahang
1061,6,611,61112,Teriang,Bera,Pahang
1062,6,611,61142,Bandar Teriang,Bera,Pahang
1063,6,611,61170,Pekan Durian Tawar,Bera,Pahang
1064,6,611,61174,Pekan Mengkarak,Bera,Pahang
1065,6,611,61175,Pekan Mengkuang,Bera,Pahang
1066,7,701,70101,Mukim 1,Seberang Perai Tengah,Pulau Pinang
1067,7,701,70102,Mukim 2,Seberang Perai Tengah,Pulau Pinang
1068,7,701,70103,Mukim 3,Seberang Perai Tengah,Pulau Pinang
1069,7,701,70104,Mukim 4,Seberang Perai Tengah,Pulau Pinang
107,1,108,10845,Bandar Segamat,Segamat,Johor
1070,7,701,70105,Mukim 5,Seberang Perai Tengah,Pulau Pinang
1071,7,701,70106,Mukim 6,Seberang Perai Tengah,Pulau Pinang
1072,7,701,70107,Mukim 7,Seberang Perai Tengah,Pulau Pinang
1073,7,701,70108,Mukim 8,Seberang Perai Tengah,Pulau Pinang
1074,7,701,70109,Mukim 9,Seberang Perai Tengah,Pulau Pinang
